69		862		96		206		180		769		882		506		888		328		
949		856		504		493		618		611		272		681		713		682		
745		452		389		409		432		630		100		506		877		189		
334		803		640		480		356		417		159		260		35		141		
546		581		840		862		955		223		774		928		816		253		
333		979		195		346		726		319		100		38		45		254		
388		947		246		794		94		512		715		442		738		134		
484		543		545		730		976		483		880		266		332		860		
894		228		882		550		192		419		763		959		240		354		
527		686		193		38		900		558		711		80		470		48		
268		224		622		351		85		904		238		432		567		792		
52		625		588		861		549		9		618		600		748		777		
238		228		707		513		189		504		297		198		835		806		
940		699		855		250		321		821		431		663		66		116		
984		551		567		214		273		146		552		134		264		633		
338		766		541		434		768		608		950		343		468		667		
410		282		470		251		514		284		20		682		213		607		
923		871		547		184		917		236		460		577		131		164		
906		917		828		996		196		326		151		2		269		836		
694		155		980		142		964		793		13		518		104		45		
896		304		762		729		424		915		317		770		191		851		
781		732		768		438		156		782		549		222		392		423		
386		686		590		937		386		217		813		804		800		495		
596		31		8		289		94		115		232		391		552		280		
641		936		791		932		522		298		663		817		79		410		
210		295		758		415		950		362		834		842		666		461		
539		880		393		70		678		907		920		148		497		78		
653		471		50		72		241		23		360		490		103		807		
98		220		653		203		591		733		203		792		366		858		
730		867		878		993		567		908		864		934		567		876		
36		94		989		894		258		698		698		954		619		126		
100		767		446		179		26		426		238		633		191		434		
852		841		238		54		914		970		597		833		896		418		
84		812		578		144		335		645		401		991		754		839		
385		670		686		26		867		318		657		636		36		299		
394		272		998		335		909		982		421		835		835		211		
860		375		311		91		65		820		876		596		751		399		
563		485		427		937		835		454		169		174		665		970		
71		731		699		834		338		155		24		540		696		499		
43		188		518		92		879		81		427		65		436		468		
644		106		762		860		497		633		94		238		456		19		
659		723		113		584		99		265		10		622		118		543		
948		459		618		987		925		826		908		775		271		713		
14		756		481		32		786		629		564		580		949		871		
505		628		39		423		609		332		66		949		981		489		
753		503		367		99		371		841		201		106		80		628		
420		178		715		268		796		833		320		151		274		723		
297		627		82		979		228		687		759		869		407		348		
51		81		278		93		363		387		284		365		834		425		
792		792		452		301		818		125		190		668		615		410		
261		358		673		625		628		318		674		129		978		444		
338		472		620		393		767		912		22		715		677		647		
143		250		311		44		86		970		244		758		560		666		
869		391		140		132		485		761		576		398		618		296		
364		121		484		408		384		224		388		24		186		58		
583		624		282		852		315		158		562		497		320		607		
936		995		146		701		670		119		87		476		28		707		
788		353		996		155		109		789		175		805		796		886		
374		746		370		542		467		702		348		305		800		777		
15		497		416		791		231		412		901		205		933		289		
618		469		703		470		402		388		652		22		121		641		
136		881		90		761		117		660		48		241		907		810		
936		828		937		723		462		390		164		757		24		167		
887		32		113		876		140		206		558		10		426		595		
950		740		648		625		517		904		8		615		674		949		
584		699		322		552		869		429		68		935		312		894		
751		133		758		314		576		391		434		282		961		102		
382		308		758		846		291		590		825		399		637		521		
593		42		154		459		526		438		699		304		361		539		
532		682		706		118		921		286		905		983		410		648		
481		96		649		506		169		903		817		481		397		285		
769		105		117		704		25		970		797		397		29		883		
301		282		471		902		729		492		234		716		363		588		
452		650		511		311		227		844		944		430		3		393		
297		27		279		335		927		622		23		41		901		623		
792		174		376		516		498		500		180		741		654		380		
46		878		663		560		659		421		523		522		137		845		
649		655		109		138		213		564		765		221		65		175		
983		266		103		802		977		561		845		115		795		474		
783		599		114		797		707		344		446		216		121		285		
406		138		578		986		562		552		259		383		745		429		
562		805		244		528		480		165		330		776		695		83		
830		419		165		772		559		488		42		668		142		377		
711		956		773		502		103		34		134		557		514		232		
273		678		712		521		26		263		83		745		187		723		
24		365		989		656		680		612		741		136		841		820		
469		632		154		903		560		864		631		375		986		795		
946		328		359		600		739		381		891		679		945		566		
434		928		601		920		425		152		150		606		316		893		
611		86		361		669		957		807		917		658		523		50		
30		793		466		198		841		98		124		600		149		106		
42		195		560		496		682		333		736		997		42		554		
76		647		573		612		204		992		261		891		366		50		
467		490		859		662		91		914		161		582		139		323		
794		223		221		512		813		426		850		650		44		861		
226		104		877		22		282		542		597		456		621		691		
258		481		638		55		47		939		12		397		358		658		
311		853		33		133		971		941		881		528		410		81		
379		73		679		145		872		914		8		642		356		342		
763		520		241		591		237		338		84		208		62		574		
