562		472		610		518		817		882		110		471		770		474		
383		507		138		620		299		223		557		610		240		196		
550		546		868		37		25		338		659		966		487		142		
725		955		74		441		390		39		897		738		338		967		
389		513		160		566		637		347		382		466		688		458		
246		374		882		976		87		425		984		237		839		95		
311		823		928		423		169		722		432		261		946		313		
541		241		634		939		449		623		996		785		307		704		
502		574		894		513		882		352		613		387		893		183		
567		443		813		852		544		803		825		348		904		336		
163		125		960		997		513		615		458		480		845		694		
913		539		841		312		857		414		39		170		919		235		
704		208		708		842		995		348		262		846		136		455		
55		248		325		414		762		155		458		974		244		463		
320		859		40		178		823		894		422		476		808		181		
636		265		488		215		204		420		127		528		0		290		
319		354		676		45		105		445		812		619		484		928		
102		270		63		856		920		884		993		184		885		466		
919		698		92		453		742		53		545		905		450		560		
73		622		942		229		104		679		749		42		365		973		
496		956		944		428		912		516		714		835		479		687		
622		682		834		520		7		759		10		905		763		394		
940		707		254		242		229		442		986		631		937		516		
909		785		214		483		459		296		749		696		277		654		
529		851		322		555		987		8		334		359		492		132		
969		509		844		185		713		998		219		222		514		211		
623		971		556		839		550		572		878		300		652		811		
626		717		510		995		217		348		848		242		648		110		
508		38		283		11		612		539		81		258		842		980		
960		332		493		769		883		832		231		463		281		999		
742		998		240		80		679		79		313		855		553		861		
758		618		961		494		673		189		730		801		919		302		
912		994		141		43		741		595		393		746		107		966		
756		249		570		185		223		16		644		704		236		771		
816		297		94		172		413		84		420		1		887		794		
177		162		598		952		648		382		525		324		750		710		
680		367		472		738		498		859		679		779		133		414		
81		856		547		704		90		277		6		498		811		169		
43		135		505		14		652		951		921		63		509		922		
83		605		271		594		140		290		316		460		569		538		
458		857		97		702		164		559		34		419		541		597		
214		11		126		159		783		555		17		495		945		556		
863		845		679		989		856		912		785		257		857		525		
852		981		355		88		770		966		817		833		212		768		
633		888		310		217		567		531		978		695		919		423		
711		239		722		110		986		408		994		297		974		591		
153		310		112		477		143		571		134		438		627		516		
770		707		556		280		90		538		72		403		58		259		
772		824		595		783		493		685		149		853		135		596		
355		613		508		630		630		840		263		179		837		439		
753		160		83		603		468		560		554		557		7		950		
919		824		577		585		981		460		785		401		775		299		
613		66		584		705		729		558		149		872		275		888		
766		193		93		38		456		274		810		454		318		460		
317		909		314		412		686		307		798		605		246		43		
96		636		581		834		934		316		58		190		269		587		
859		385		657		453		973		981		352		983		982		26		
775		262		145		503		530		497		339		230		54		692		
492		954		41		39		847		741		684		263		309		877		
359		683		814		462		558		801		298		79		163		210		
968		54		92		43		141		980		943		534		895		465		
299		720		874		735		0		60		571		194		658		192		
963		299		410		839		294		321		758		727		404		209		
210		419		336		415		54		483		919		382		929		426		
68		532		631		57		250		778		992		3		32		314		
297		817		540		857		342		182		337		800		160		477		
899		277		43		522		77		167		452		630		369		771		
489		527		456		128		993		903		442		962		262		156		
400		557		48		216		295		975		772		594		568		915		
980		437		359		675		305		111		0		238		622		828		
113		467		319		940		244		821		569		291		83		495		
452		719		657		858		671		767		454		404		11		330		
267		555		674		54		631		587		401		530		337		732		
284		22		512		815		577		681		271		818		160		83		
468		74		897		644		444		489		239		981		511		849		
763		702		66		15		315		607		532		755		365		571		
368		624		863		218		429		183		817		750		731		504		
341		744		167		651		629		332		288		131		598		666		
931		573		428		934		716		1		751		978		382		646		
156		243		797		298		398		561		698		498		518		131		
166		134		465		571		19		505		73		861		535		640		
215		230		450		401		103		698		322		854		140		110		
5		282		966		232		680		315		705		724		653		408		
625		720		9		141		498		690		295		869		348		64		
647		976		791		145		772		341		43		418		109		792		
