958		865		306		253		933		333		130		729		550		754		
978		359		446		974		749		940		964		815		4		276		
834		388		405		57		451		79		506		389		565		225		
606		50		736		766		125		679		799		851		188		134		
743		925		518		652		838		219		473		97		15		535		
705		281		290		153		819		946		608		341		285		430		
104		942		500		411		572		307		517		922		840		48		
608		877		723		176		122		844		54		666		738		842		
693		890		854		955		996		313		775		112		597		335		
499		575		487		816		929		317		192		653		402		949		
